INT=21.07ºC PT1=19.09ºC PT2=838.71ºC
distance,temperature
"-80.566","0.000"
"-80.312","0.000"
"-80.057","0.000"
"-79.803","0.000"
"-79.549","0.000"
"-79.295","0.000"
"-79.041","0.000"
"-78.786","0.000"
"-78.532","0.000"
"-78.278","0.000"
"-78.024","0.000"
"-77.770","0.000"
"-77.515","0.000"
"-77.261","0.000"
"-77.007","0.000"
"-76.753","0.000"
"-76.499","0.000"
"-76.244","0.000"
"-75.990","0.000"
"-75.736","0.000"
"-75.482","0.000"
"-75.228","0.000"
"-74.973","0.000"
"-74.719","0.000"
"-74.465","0.000"
"-74.211","0.000"
"-73.957","0.000"
"-73.702","0.000"
"-73.448","0.000"
"-73.194","0.000"
"-72.940","0.000"
"-72.686","0.000"
"-72.431","0.000"
"-72.177","0.000"
"-71.923","0.000"
"-71.669","0.000"
"-71.415","0.000"
"-71.160","0.000"
"-70.906","0.000"
"-70.652","0.000"
"-70.398","0.000"
"-70.144","0.000"
"-69.889","0.000"
"-69.635","0.000"
"-69.381","0.000"
"-69.127","0.000"
"-68.873","0.000"
"-68.618","0.000"
"-68.364","0.000"
"-68.110","0.000"
"-67.856","0.000"
"-67.602","0.000"
"-67.347","0.000"
"-67.093","0.000"
"-66.839","0.000"
"-66.585","0.000"
"-66.331","0.000"
"-66.076","0.000"
"-65.822","0.000"
"-65.568","0.000"
"-65.314","0.000"
"-65.060","0.000"
"-64.805","0.000"
"-64.551","0.000"
"-64.297","0.000"
"-64.043","0.000"
"-63.789","0.000"
"-63.534","0.000"
"-63.280","0.000"
"-63.026","0.000"
"-62.772","0.000"
"-62.518","0.000"
"-62.263","0.000"
"-62.009","0.000"
"-61.755","0.000"
"-61.501","0.000"
"-61.247","0.000"
"-60.992","0.000"
"-60.738","0.000"
"-60.484","0.000"
"-60.230","0.000"
"-59.976","0.000"
"-59.721","0.000"
"-59.467","0.000"
"-59.213","0.000"
"-58.959","0.000"
"-58.705","0.000"
"-58.450","0.000"
"-58.196","0.000"
"-57.942","0.000"
"-57.688","0.000"
"-57.434","0.000"
"-57.179","0.000"
"-56.925","0.000"
"-56.671","0.000"
"-56.417","0.000"
"-56.163","-70.452"
"-55.908","-51.771"
"-55.654","-16.320"
"-55.400","23.353"
"-55.146","30.009"
"-54.892","24.584"
"-54.637","24.041"
"-54.383","24.401"
"-54.129","24.304"
"-53.875","24.330"
"-53.621","24.384"
"-53.366","24.328"
"-53.112","24.293"
"-52.858","24.273"
"-52.604","24.260"
"-52.350","24.236"
"-52.095","24.241"
"-51.841","24.236"
"-51.587","24.215"
"-51.333","24.195"
"-51.079","24.181"
"-50.824","24.170"
"-50.570","24.168"
"-50.316","24.146"
"-50.062","24.147"
"-49.808","24.162"
"-49.553","24.136"
"-49.299","24.123"
"-49.045","24.101"
"-48.791","24.092"
"-48.537","24.086"
"-48.282","24.051"
