,12/5/2020 12:30:17 PM,12/5/2020 12:33:17 PM,12/5/2020 12:36:17 PM,12/5/2020 12:39:17 PM,12/5/2020 12:42:18 PM,12/5/2020 12:45:18 PM,12/5/2020 12:48:18 PM,12/5/2020 12:51:18 PM,12/5/2020 12:54:18 PM,12/5/2020 12:57:19 PM,12/5/2020 1:00:19 PM,12/5/2020 1:03:19 PM,12/5/2020 1:06:19 PM,12/5/2020 1:09:19 PM,12/5/2020 1:12:20 PM,12/5/2020 1:15:20 PM,12/5/2020 1:18:20 PM,12/5/2020 1:21:20 PM,12/5/2020 1:24:20 PM,12/5/2020 1:27:20 PM,12/5/2020 1:30:21 PM,12/5/2020 1:33:21 PM,12/5/2020 1:36:21 PM,12/5/2020 1:39:21 PM,12/5/2020 1:42:22 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"48.059","19.147","19.201","19.171","19.175","19.110","19.075","19.007","19.094","19.084","19.133","19.068","18.973","19.033","19.120","19.022","18.927","18.961","19.131","19.059","19.120","19.027","18.774","19.051","19.112","19.116"
"48.313","19.041","19.059","19.042","19.032","18.978","18.932","18.910","19.010","18.897","19.019","18.944","18.826","18.956","18.958","18.874","18.823","18.918","18.991","18.944","18.985","18.905","18.719","18.926","19.011","18.905"
"48.567","19.055","19.025","19.021","19.036","18.927","18.916","18.924","19.026","18.867","18.992","18.924","18.777","18.960","18.950","18.860","18.783","18.928","18.961","18.940","18.983","18.948","18.712","18.950","18.997","18.920"
"48.822","19.087","19.081","19.092","19.127","18.968","19.002","19.001","19.122","18.988","19.094","19.013","18.892","19.024","19.066","18.972","18.879","19.027","19.045","19.074","19.102","19.114","18.833","19.094","19.091","19.122"
"49.076","19.073","19.111","19.083","19.127","18.964","18.994","18.986","19.090","19.036","19.122","19.055","18.962","19.014","19.075","18.985","18.937","19.049","19.076","19.112","19.161","19.136","18.874","19.119","19.136","19.239"
"49.330","19.077","19.070","19.054","19.110","18.955","18.928","18.921","19.040","18.998","19.047","19.026","18.896","18.962","19.009","18.906","18.888","18.964","19.024","19.034","19.134","19.027","18.803","19.027","19.091","19.136"
"49.584","19.030","19.013","19.010","19.084","18.936","18.897","18.904","19.036","18.973","19.000","18.908","18.824","18.914","18.985","18.851","18.815","18.874","18.975","18.993","19.117","18.946","18.728","18.981","19.081","19.059"
"49.838","18.937","18.964","18.896","19.011","18.862","18.836","18.851","18.976","18.928","18.955","18.796","18.756","18.862","18.944","18.797","18.770","18.806","18.896","18.942","19.054","18.909","18.663","18.928","19.041","19.036"
"50.093","18.959","18.988","18.924","19.018","18.866","18.835","18.859","18.963","18.957","18.995","18.817","18.754","18.869","18.910","18.814","18.770","18.809","18.880","18.917","19.023","18.931","18.692","18.899","19.024","18.999"
"50.347","19.020","19.085","19.064","19.103","18.950","18.941","18.961","19.096","19.033","19.102","18.904","18.801","18.943","18.982","18.873","18.836","18.918","18.970","19.004","19.085","18.980","18.795","18.962","19.098","19.049"
"50.601","18.977","19.049","19.069","19.080","18.929","18.939","18.952","19.126","18.990","19.073","18.907","18.799","18.926","18.971","18.854","18.841","18.934","18.984","19.056","19.119","18.953","18.777","18.950","19.083","19.109"
"50.855","18.962","18.950","18.966","18.976","18.849","18.840","18.852","19.006","18.900","18.949","18.864","18.777","18.876","18.876","18.786","18.786","18.847","18.921","18.980","19.067","18.863","18.671","18.864","19.001","19.049"
"51.109","19.022","18.957","18.960","18.966","18.860","18.849","18.858","18.979","18.911","18.920","18.860","18.754","18.882","18.882","18.780","18.758","18.839","18.903","18.919","19.024","18.821","18.621","18.862","18.985","18.959"
"51.364","19.002","18.986","18.968","18.957","18.883","18.892","18.867","18.994","18.919","18.957","18.846","18.740","18.902","18.927","18.785","18.738","18.843","18.909","18.903","19.013","18.850","18.628","18.883","18.973","18.875"
"51.618","18.941","18.968","18.937","18.918","18.863","18.872","18.814","18.943","18.866","18.920","18.788","18.706","18.914","18.920","18.792","18.721","18.791","18.865","18.889","19.000","18.866","18.645","18.859","18.917","18.858"
"51.872","18.960","18.988","18.975","18.953","18.870","18.869","18.814","18.966","18.884","18.944","18.755","18.698","18.917","18.942","18.824","18.717","18.790","18.862","18.905","18.997","18.878","18.674","18.847","18.926","19.023"
"52.126","19.000","18.986","19.008","18.969","18.895","18.870","18.842","19.010","18.940","18.986","18.789","18.752","18.902","18.943","18.828","18.740","18.808","18.878","18.932","19.011","18.902","18.678","18.852","18.947","19.047"
"52.380","19.027","18.987","19.020","18.957","18.885","18.854","18.833","18.991","18.935","18.971","18.852","18.775","18.889","18.945","18.831","18.773","18.816","18.854","18.923","19.005","18.891","18.663","18.836","18.944","18.935"
"52.635","19.022","19.026","19.026","18.961","18.907","18.874","18.838","18.981","18.937","18.939","18.865","18.775","18.873","18.945","18.837","18.775","18.814","18.837","18.914","18.985","18.840","18.643","18.809","18.940","18.888"
"52.889","18.948","19.000","18.987","18.908","18.903","18.856","18.798","18.948","18.904","18.873","18.849","18.727","18.835","18.882","18.802","18.735","18.815","18.816","18.883","18.959","18.839","18.605","18.765","18.911","18.859"
"53.143","18.914","18.961","18.970","18.906","18.864","18.825","18.780","18.925","18.880","18.868","18.843","18.680","18.826","18.857","18.788","18.692","18.848","18.849","18.864","18.976","18.877","18.614","18.742","18.886","18.901"
"53.397","18.998","19.005","19.006","18.950","18.879","18.858","18.840","18.980","18.895","18.958","18.843","18.709","18.877","18.939","18.829","18.732","18.869","18.914","18.935","19.036","18.912","18.675","18.807","18.927","18.969"
"53.651","19.027","19.020","19.003","18.976","18.927","18.889","18.845","18.989","18.882","18.994","18.828","18.740","18.896","18.948","18.861","18.775","18.857","18.935","18.969","19.038","18.909","18.681","18.881","18.955","18.994"
"53.906","19.083","19.044","19.044","19.027","18.976","18.900","18.825","18.996","18.932","18.968","18.855","18.762","18.898","18.950","18.879","18.793","18.857","18.947","18.952","19.065","18.928","18.671","18.905","18.969","19.012"
"54.160","19.142","19.094","19.109","19.053","19.004","18.934","18.851","19.038","19.026","18.975","18.908","18.811","18.922","18.997","18.902","18.808","18.860","18.978","18.970","19.136","18.978","18.677","18.899","19.005","18.999"
"54.414","19.102","19.066","19.116","19.009","18.987","18.930","18.886","19.034","19.003","18.960","18.930","18.833","18.915","18.978","18.905","18.803","18.846","18.962","18.961","19.140","18.968","18.676","18.877","19.012","18.964"
"54.668","19.053","19.027","19.106","19.000","18.970","18.916","18.899","19.045","18.940","18.964","18.935","18.842","18.920","18.945","18.868","18.788","18.846","18.926","18.966","19.114","18.923","18.672","18.860","18.972","18.940"
"54.922","19.066","19.019","19.122","19.039","18.977","18.932","18.892","19.083","18.950","18.988","18.944","18.869","18.945","18.986","18.842","18.801","18.877","18.948","18.992","19.106","18.942","18.678","18.857","18.974","19.000"
"55.177","19.079","19.021","19.090","19.049","18.952","18.915","18.883","19.071","18.942","18.998","18.912","18.853","18.957","18.974","18.854","18.815","18.890","18.956","18.971","19.073","18.951","18.708","18.852","18.997","19.036"
"55.431","19.111","19.045","19.049","19.054","18.955","18.883","18.918","19.049","18.974","19.013","18.900","18.784","18.944","18.937","18.855","18.797","18.874","18.959","18.967","19.066","18.930","18.713","18.861","19.007","19.010"
"55.685","19.122","19.041","19.021","19.041","18.965","18.877","18.945","19.017","18.973","19.035","18.853","18.737","18.915","18.929","18.816","18.761","18.833","18.973","18.961","19.059","18.904","18.693","18.841","19.006","18.971"
"55.939","19.125","19.027","19.002","19.026","18.944","18.897","18.909","18.981","18.930","19.002","18.807","18.751","18.893","18.944","18.773","18.754","18.822","18.971","18.932","19.011","18.894","18.691","18.819","19.008","18.929"
"56.193","19.170","19.101","19.043","19.045","18.994","18.945","18.919","19.014","18.957","18.980","18.858","18.800","18.939","19.000","18.828","18.793","18.846","19.020","18.962","19.045","18.915","18.726","18.819","19.025","18.950"
"56.448","19.179","19.165","19.122","19.075","19.057","18.998","18.948","19.047","19.016","19.034","18.939","18.858","18.992","19.051","18.903","18.816","18.896","19.099","19.058","19.148","18.991","18.792","18.900","19.060","19.063"
"56.702","19.171","19.167","19.128","19.087","19.031","19.001","18.923","19.047","19.015","19.069","18.943","18.874","18.992","19.009","18.907","18.813","18.939","19.091","19.084","19.177","18.980","18.794","18.948","19.056","19.126"
"56.956","19.196","19.167","19.131","19.109","19.001","18.981","18.965","19.073","19.018","19.070","18.944","18.865","18.969","18.992","18.900","18.810","18.962","19.068","19.059","19.142","18.928","18.764","18.945","19.031","19.078"
"57.210","19.166","19.159","19.131","19.099","18.998","18.990","19.010","19.101","19.039","19.051","18.987","18.869","18.947","19.023","18.898","18.815","18.957","19.071","19.054","19.111","18.923","18.765","18.963","19.035","19.046"
"57.464","19.140","19.134","19.101","19.061","18.996","18.999","18.993","19.095","19.042","19.007","18.991","18.854","18.899","19.041","18.862","18.825","18.896","19.030","19.025","19.112","18.942","18.768","18.972","19.031","18.993"
"57.719","19.214","19.213","19.171","19.114","19.038","19.079","19.033","19.176","19.114","19.061","19.003","18.886","18.965","19.101","18.928","18.881","18.931","19.057","19.044","19.165","19.032","18.817","19.011","19.105","19.021"
